Retailer Name,Retailer ID,Invoice Date,Region,State,District,Product,Price per Unit (INR),Units Sold,Total Sales (INR),Operating Profit (INR),Sales Method
Prime Step Store,95425,6/9/2018,South,Karnataka,Bengaluru,Sneakers,2260,57,128820,36869.16451,Offline
Best Path Emporium,40826,12/22/2018,North,Punjab,Jalandhar,Sandals,4792,33,158136,25677.73612,Online
Prime Walk Boutique,83635,6/12/2022,North,Punjab,Amritsar,Heels,3795,65,246675,51524.1315,Online
Top Footwear Co,33817,3/22/2019,South,Karnataka,Hubli,Heels,1462,93,135966,37666.68514,Offline
Fresh Style Boutique,48028,8/14/2019,East,West Bengal,Howrah,Sneakers,4034,26,104884,15143.36096,Online
Top Step Store,39832,9/4/2019,South,Karnataka,Mysore,Sneakers,4828,11,53108,8600.825372,Online
Top Trend Company,29981,5/8/2018,East,West Bengal,Kolkata,Formal Shoes,4405,72,317160,84871.08435,Offline
Best Shoe Place,18959,6/6/2019,South,Tamil Nadu,Coimbatore,Sneakers,4235,50,211750,36696.72376,Offline
New Run Place,24711,1/28/2023,North,Punjab,Ludhiana,Sneakers,2200,88,193600,38757.65403,Offline
Best Walk Hub,25862,6/11/2020,South,Tamil Nadu,Coimbatore,Boots,1991,39,77649,22058.01302,Online
Reliable Shoe Mart,99510,7/28/2022,East,West Bengal,Howrah,Boots,1645,23,37835,5360.089506,Online
Best Journey Boutique,77242,12/2/2022,North,Punjab,Ludhiana,Sandals,1948,6,11688,2588.277432,Offline
Prime Style Hub,66818,12/3/2023,South,Karnataka,Hubli,Boots,2611,34,88774,19100.01374,Offline
Exclusive Style Hub,77676,6/11/2018,West,Maharashtra,Mumbai,Heels,3930,14,55020,7787.99579,Online
Urban Style Place,37451,5/14/2021,East,West Bengal,Darjeeling,Boots,4896,84,411264,83309.17182,Online
Best Walk Emporium,60336,6/19/2022,North,Punjab,Amritsar,Boots,3480,63,219240,32362.77822,Online
Top Journey Store,45327,6/12/2018,East,West Bengal,Darjeeling,Sneakers,3051,54,164754,43406.12771,Offline
New Run Mart,72662,7/1/2019,North,Punjab,Amritsar,Heels,600,64,38400,5035.908965,Online
